object,true_disparity,raw_est,filled_est,used_est,error_pct
40-Pringles,142.77,151.81,151.81,151.81,+6.3
39-Glove,149.69,156.00,156.00,156.00,+4.2
38-Rolodex_Jumbo_Pencil_Cup,143.94,150.38,150.38,150.38,+4.5
37-T-shirt,156.74,156.00,156.00,156.00,-0.5
36-Adjustable_Wrench,152.67,153.69,153.69,153.69,+0.7
35-Laugh_Out_Loud_Joke_Book,152.80,-1.00,156.17,156.17,+2.2
34-Nail,152.99,156.81,156.81,156.81,+2.5
33-Key,152.99,156.00,156.00,156.00,+2.0
32-Wine_Glass,149.57,163.19,163.19,163.19,+9.1
31-Plastic_White_Cup,147.36,165.19,165.19,165.19,+12.1
